"species","latitude","longitude","date_obs","source"
"Impatiens glandulifera",47.43558,9.16241,2025-04-23,"gbif"
"Impatiens glandulifera",47.43772,9.15853,2025-04-23,"gbif"
"Impatiens glandulifera",47.43175,9.16804,2025-04-23,"gbif"
"Impatiens glandulifera",47.29158,7.9837,2025-04-25,"gbif"
"Impatiens glandulifera",47.42634,9.18236,2025-04-23,"gbif"
"Impatiens glandulifera",47.43554,9.1619,2025-04-23,"gbif"
"Impatiens glandulifera",47.29653,7.98699,2025-04-25,"gbif"
"Impatiens glandulifera",47.29674,7.98947,2025-04-25,"gbif"
"Impatiens glandulifera",47.29815,7.98975,2025-04-25,"gbif"
"Impatiens glandulifera",47.29252,7.96327,2025-04-25,"gbif"
"Impatiens glandulifera",47.43545,9.16211,2025-04-23,"gbif"
"Impatiens glandulifera",47.4292,9.17852,2025-04-23,"gbif"
"Impatiens glandulifera",47.43628,9.16201,2025-04-23,"gbif"
"Impatiens glandulifera",47.43801,9.15946,2025-04-23,"gbif"
"Impatiens glandulifera",47.29237,7.96058,2025-04-25,"gbif"
"Impatiens glandulifera",47.42721,9.1819,2025-04-23,"gbif"
"Impatiens glandulifera",47.4272,9.18272,2025-04-23,"gbif"
"Impatiens glandulifera",47.43406,9.16386,2025-04-23,"gbif"
"Impatiens glandulifera",47.43215,9.17549,2025-04-23,"gbif"
"Impatiens glandulifera",46.166797,8.871097,2025-05-09,"gbif"
"Impatiens glandulifera",47.578997,8.886956,2025-05-12,"gbif"
"Impatiens glandulifera",47.580871,8.878474,2025-05-14,"gbif"
"Impatiens glandulifera",47.599075,8.656707,2025-05-24,"gbif"
"Impatiens glandulifera",47.596157,8.653923,2025-05-24,"gbif"
"Impatiens glandulifera",46.166922,8.870942,2025-05-23,"gbif"
"Impatiens glandulifera",47.579893,8.871956,2025-05-14,"gbif"
"Impatiens glandulifera",47.593545,8.588873,2025-05-24,"gbif"
"Impatiens glandulifera",47.39041,8.07514,2025-05-15,"gbif"
